Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;LinkedIn;Longitude Latitude;Plus Code;Directeur;;;;nom prof et mail;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;DeuxMillevingtDeux Nb D apprentis;DeuxMillevingtDeux  Nb D initiaux;DeuxMillevingtEtUn Nb D apprentis;DeuxMillevingtEtUn  Nb D initiaux;DeuxMillevingt Nb D apprentis;DeuxMillevingt  Nb D initiaux;DeuxMilleDixNeuf  Nb D apprentis;DeuxMilleDixNeuf  Nb D initiaux;DeuxMilleDixHuit  Nb D apprentis;DeuxMilleDixHuit  Nb D initiaux;DeuxMilleDixSept  Nb D apprentis;DeuxMilleDixSept  Nb D initiaux;DeuxMilleSeize  Nb D apprentis;DeuxMilleSeize  Nb D initiaux;DeuxMilleQuinze  Nb D apprentis;DeuxMilleQuinze  Nb D initiaux;DeuxMilleQuatorze  Nb D apprentis;DeuxMilleQuatorze  Nb D intiaux;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J;;
Alimentaire;analyses produits agricoles;Oxygene Conseil élevage;"      ; 2020_i=1  ; 2019_i=1  ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;840 rue curie ZA Le Brunehaut;Maroeuil;62161;03 21 15 24 50;controle-laitier.fr;50.326471366848246, 2.7209056869802675;;;;;;Benoit Lombart. b.lombart@oxygen-gr.com;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;Recherche universitaires;Laboratoire Génie Enzymatique et cellulaire UMR CNRS 7025;"      ; 2020_i=1    ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Université de Technologie de Compiègne Rue du Dr Schweitzer CS 60319 ;Compiègne cedex;60203;03 44 23 46 87;https://www.utc.fr/recherche/les-unites-de-recherche-de-lutc/genie-enzymatique-et-cellulaire-gec-umr-cnrs-7025/;49.3992734296089, 2.8001947636431566;;;;;;Yannick Rossez yannick.rossez@utc.fr;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Microbiologie;Pathologie végétale;Eurofin lab pathologie végétale;"      ; 2020_i=1            ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81bis rue Bernard Palissy ;Loos en Gohelle;62750;06 81 70 92 03;eurofins.fr;50.449109791937666, 2.799147750212574;;;;;;Christopher Wattier. christopherwathier@eurofins.com;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chimie;Recherche Biochimie microbiologie;OBIKS;"        ; 2019_i=2  ; 2018_i=2        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ul. Owocowa 8;KATOWICE;40-158;32 43 86 911;obiks.pl;50.277885728743684, 19.025544577192925;;;;;;Mme KROL-GREGER j.krol@obiks.pl;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Environnement;traitement de l'eau;EGLV;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; Emschergenossenschaft Kronprinzenstraße ;ESSEN;00024;0201 104-2336;https://www.eglv.de/en/;51.446326414122545, 7.019821867951219;;;;;;M. BUCKMANN bueckmann.thomas@eglv.de;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Boissons;Coca-Cola Production;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zone Entreprise de Bergues ; SOCX ;59380;03 28 22 69 00;coca-cola.fr;50.95346276322629, 2.4216056502218124;;;;;;Mme D'ESPOSITO. ldesposito@cokecce.com;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Confiseries;Wrigley France;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZI RD52 ;Biesheim;68600;07 88 40 35 58;https://www.franceconfiserie.com/fournisseurs/mars-wrigley-confectionery/;48.03366011680415, 7.563196611546651;;;;;;M. PRUD'HOMME. raphael.prudhomme@effem.com;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Produits transformés ;Mac Cain;"      ; 2020_i=1  ; 2019_i=1  ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;483 rue du beau marais;Béthune;62403;03 21 64 73 75;mccain.fr;50.53224012185312, 2.6522087190020054;;;;;;M. CREPIN. frederic.crepin@mccain.com;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
microbiologie;Analyses;Laboratoire départemental;"      ; 2020_i=1  ; 2019_i=1  ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parc des Bonnettes, 2 rue du genèvrier;Arras;62000;03 21 51 82 71;;50.30436566331693, 2.733899873488113;;;;;;M.Dequiedt Dequiedt.Christophe@pasdecalais.fr;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Analyses;;Eurofins CEBAT;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1294 rue Achille Peres;Dunkerque ;59640;03 28 69 72 90;eurofins.fr;51.00785573450821, 2.3302666015225926;;;;;;Mme RIBERON. estelleriberon@eurofins.com;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Production;Fromagers de Thiérache;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28 rue de la croix ;Le Nouvion en Thiérache;02170;03 23 98 35 86;fauquet-maroilles.com;50.015957372799875, 3.794287015810719;;;;;;Mme POULAIN. laurence.poulain@chaumes.fr;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cosmétiques;Analyses;HAMILTON GDANSK;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ul. Bajana 3D ; Gdańsk-Zaspa;80-463;48 58 766 99 00;hamilton.com.pl;54.39204558638492, 18.617002437407045;;;;;;Mme WANTKE.  mwantke@hamilton.com.pl;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pharmaceutique;Production;ARKOPHARMA;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ème rue;Carros;06510;04 93 29 11 28;arkopharma.com;43.7884616465786, 7.211808813850591;;;;;;Mme POMARO marina.pomaro@arkopharma.com;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;Recherches microbiote;Université Paris Descartes;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12 rue de l'école de médecine ;Paris;75005;01 53 73 99 20;;48.85139641168368, 2.341648332986763;;;;;;Mme WALIGORA-DUPRIET.  anne-judith.wagilora@parisdescartes.fr;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Filière laitière;CANDIA;"          ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1040 route nationale;Awoingt;59400;03 27 72 22 22;;50.1626072710647, 3.285344031963673;;;;;;Blandine Buse;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;Recherche;INSERM U859 thérapie cellulaire du diabète;"          ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fac de médecine. Pôle recherche 3ème étage Est- 1 place de verdun;Lille cedex;59045;03 20 62 34 62;translational-research-diabetes.com;50.61505627583722, 3.0423190270875486;;;;;;Valéry GMYR.  vgmyr@univ-lille.fr;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Production spiruline;SAS METHA-TERNOIS Spiruline des hauts de France;"          ; 2018_i=1  ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30 rue de pernes ;VALHUON;62 550;spiruline.valhuon@gmail.com;spirulinedeshautsdefrance.com;50.45287744612894, 2.3801536865732484;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Brasserie;Brasserie Castelain;"        ; 2019_i=1  ; 2018_i=1  ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13 rue Pasteur;Bénifontaine;62410;03 21 08 68 60;brasseriecastelain.com;50.487159476263024, 2.833920537923035;;;;;;Maud Carrière mcarriere@brasseriecastelain.com;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Charcuterie;HERTA;"    ; 2021_i=1  ; 2020_i=1  ; 2019_i=1  ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZI Ostreville;Saint Pol sur ternoise;62130;03 21 04 19 00;herta.fr;50.385917250429024, 2.3537463832151473;;;;;;Laurence Plancke laurence.plancke@gr.nestle.com;;;;;;;;;1;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Production fromage;Mleczarnia TUREK Spzoo;"          ; 2018_i=1  ; 2017_i=2  ; 2016_i=2    ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 Milewskiego; turek, pologne;;+48 603 76 17 22;naturek.pl;52.02256806627622, 18.51219771737939;;;;;;Urzula Rostek.  urszula.rostek@turek.com.pl;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;
Médical;Recherche;Blood Brain Barrier  Laboratory Faculté Jean Perrin;"          ; 2018_i=1  ; 2017_i=1  ; 2016_i=1    ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rue J. Souvraz SP18;LENS;62300;03 21 79 17 41;univ-artois.fr;50.43646025727218, 2.822891133605411;;;;;;Emmanuel Sevin. emmanuel.sevin@univ-artois.fr;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;
Alimentaire;Petfood;France Melasse;"          ; 2018_i=1  ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 bis boulevard Schuman;Arras;62000;03 21 23 34 13;francemelasses.net;50.2984616797338, 2.776113060694465;;;;;;Simon Nicaud s.nicaud@melasse.net;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
Médical;Contrôle qualité;CHU Arras;"    ; 2021_i=1    ; 2019_i=1  ; 2018_i=1  ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Avenue Winston Churchill ;Arras;62000;03 21 21 10 87;ch-arras.fr;50.29692049450271, 2.7620851242516276;;;;;;"Mme Sanier Amandine.SANIEZ@gh-artoisternois.fr ; Alain Beaumont";;1;N° 1 CHU Arras;1;N° 1 CHU Arras;;;;1;;;;1;;1;;1;;;;;;;23;23;0;0;0;0;0;0;0;0;1;1;1;0;0;0;;
Lycée;Etudiants en  BTS Bioanalyses et contrôles;Pôle Enseignement Supérieur Baudimont;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28 rue Baudimont;Arras;62000;03 21 16 18 00;https://fr.linkedin.com/in/christelle-mouliade-72b28a9a;50.29452119820022, 2.766154740483866;;;;;;Christelle Mouliade christelle.mouliade@baudimont.com;;3;N° 3 Pôle Enseignement Supérieur Baudimont;3;N° 3 Pôle Enseignement Supérieur Baudimont;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
